Winner, Loser, WRank, LRank, Court, Surface, Round, Series, WElapsed, LElapsed, WRClay, WRGrass, WRHard, LRClay, LRGrass, LRHard, WAvgSpeed, LAvgSpeed, Wsets, Lsets, WDigit, LDigit
Verdasco, Pospisil, 42.000000, 133.000000, Outdoor, Hard, 1st Round, ATP250, 61.000000, 81.000000, 0.453125, 0.117188, 0.429688, 0.051948, 0.181818, 0.766234, 172.895652, 181.889033, 2.000000, 0.000000, 1, 0
Khachanov, Zayid, 53.000000, 1277.000000, Outdoor, Hard, 1st Round, ATP250, 67.000000, 365.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Kohlschreiber, Jaziri, 32.000000, 58.000000, Outdoor, Hard, 1st Round, ATP250, 63.000000, 76.000000, 0.464052, 0.111111, 0.424837, 0.148936, 0.106383, 0.744681, 169.174588, 159.836364, 2.000000, 0.000000, 1, 0
Melzer, Mathieu, 68.000000, 73.000000, Outdoor, Hard, 1st Round, ATP250, 68.000000, 64.000000, 0.437500, 0.125000, 0.437500, 0.488372, 0.093023, 0.418605, 167.892294, 168.317343, 2.000000, 1.000000, 1, 0
Tsonga, Kuznetsov, 12.000000, 46.000000, Outdoor, Hard, 1st Round, ATP250, 60.000000, 71.000000, 0.248447, 0.105590, 0.645963, 0.385714, 0.100000, 0.514286, 173.887833, 164.852023, 2.000000, 1.000000, 1, 0
Karlovic, Marchenko, 20.000000, 74.000000, Outdoor, Hard, 1st Round, ATP250, 62.000000, 64.000000, 0.185185, 0.222222, 0.592593, 0.095238, 0.095238, 0.809524, 195.388708, 172.514803, 2.000000, 0.000000, 1, 0
Murray, Chardy, 1.000000, 69.000000, Outdoor, Hard, 1st Round, ATP250, 44.000000, 123.000000, 0.209302, 0.166667, 0.624031, 0.318584, 0.106195, 0.575221, 167.091792, 182.488035, 2.000000, 0.000000, 1, 0
Berdych, Giannessi, 10.000000, 128.000000, Outdoor, Hard, 1st Round, ATP250, 60.000000, 123.000000, 0.210300, 0.120172, 0.669528, 0.833333, 0.000000, 0.166667, 178.187284, 166.855670, 2.000000, 0.000000, 1, 0
Almagro, Kohlschreiber, 44.000000, 32.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 1.000000, 0.698113, 0.028302, 0.273585, 0.464052, 0.111111, 0.424837, 175.619251, 169.174588, 2.000000, 0.000000, 1, 0
Verdasco, Goffin, 42.000000, 11.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 2.000000, 0.453125, 0.117188, 0.429688, 0.295775, 0.084507, 0.619718, 172.895652, 163.700575, 2.000000, 0.000000, 1, 0
Stepanek, De, 107.000000, 134.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 1.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Berdych, Vesely, 10.000000, 55.000000, Outdoor, Hard, 2nd Round, ATP250, 1.000000, 2.000000, 0.210300, 0.120172, 0.669528, 0.481013, 0.126582, 0.392405, 178.187284, 181.729904, 2.000000, 1.000000, 1, 0
Djokovic, Zeballos, 2.000000, 71.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 2.000000, 0.229773, 0.097087, 0.673139, 0.660000, 0.000000, 0.340000, 173.956002, 168.308901, 2.000000, 0.000000, 1, 0
Murray, Melzer, 1.000000, 68.000000, Outdoor, Hard, 2nd Round, ATP250, 1.000000, 1.000000, 0.209302, 0.166667, 0.624031, 0.437500, 0.125000, 0.437500, 167.091792, 167.892294, 2.000000, 0.000000, 1, 0
Karlovic, Khachanov, 20.000000, 53.000000, Outdoor, Hard, 2nd Round, ATP250, 1.000000, 1.000000, 0.185185, 0.222222, 0.592593, 0.461538, 0.128205, 0.410256, 195.388708, 176.693780, 2.000000, 0.000000, 1, 0
Tsonga, Brown, 12.000000, 72.000000, Outdoor, Hard, 2nd Round, ATP250, 1.000000, 2.000000, 0.248447, 0.105590, 0.645963, 0.340426, 0.276596, 0.382979, 173.887833, 176.681588, 2.000000, 0.000000, 1, 0
Verdasco, Karlovic, 42.000000, 20.000000, Outdoor, Hard, Quarterfinals, ATP250, 1.000000, 1.000000, 0.453125, 0.117188, 0.429688, 0.185185, 0.222222, 0.592593, 172.895652, 195.388708, 2.000000, 0.000000, 1, 0
Djokovic, Stepanek, 2.000000, 107.000000, Outdoor, Hard, Quarterfinals, ATP250, 1.000000, 1.000000, 0.229773, 0.097087, 0.673139, 0.300000, 0.200000, 0.500000, 173.956002, 172.962494, 2.000000, 0.000000, 1, 0
Murray, Almagro, 1.000000, 44.000000, Outdoor, Hard, Quarterfinals, ATP250, 1.000000, 1.000000, 0.209302, 0.166667, 0.624031, 0.698113, 0.028302, 0.273585, 167.091792, 175.619251, 2.000000, 0.000000, 1, 0
Berdych, Tsonga, 10.000000, 12.000000, Outdoor, Hard, Quarterfinals, ATP250, 1.000000, 1.000000, 0.210300, 0.120172, 0.669528, 0.248447, 0.105590, 0.645963, 178.187284, 173.887833, 2.000000, 0.000000, 1, 0
Djokovic, Verdasco, 2.000000, 42.000000, Outdoor, Hard, Semifinals, ATP250, 1.000000, 1.000000, 0.229773, 0.097087, 0.673139, 0.453125, 0.117188, 0.429688, 173.956002, 172.895652, 2.000000, 1.000000, 1, 0
Murray, Berdych, 1.000000, 10.000000, Outdoor, Hard, Semifinals, ATP250, 1.000000, 1.000000, 0.209302, 0.166667, 0.624031, 0.210300, 0.120172, 0.669528, 167.091792, 178.187284, 2.000000, 0.000000, 1, 0
Djokovic, Murray, 2.000000, 1.000000, Outdoor, Hard, The Final, ATP250, 1.000000, 1.000000, 0.229773, 0.097087, 0.673139, 0.209302, 0.166667, 0.624031, 173.956002, 167.091792, 2.000000, 1.000000, 1, 0
Johnson, Robert, 33.000000, 53.000000, Outdoor, Hard, 1st Round, ATP250, 6.000000, 6.000000, 0.142857, 0.205357, 0.651786, 0.347826, 0.086957, 0.565217, 174.626770, 160.678481, 2.000000, 0.000000, 1, 0
Haase, Tearney, 58.000000, 447.000000, Outdoor, Hard, 1st Round, ATP250, 7.000000, 365.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Vesely, Zeballos, 54.000000, 69.000000, Outdoor, Hard, 1st Round, ATP250, 5.000000, 5.000000, 0.481013, 0.126582, 0.392405, 0.660000, 0.000000, 0.340000, 181.729904, 168.308901, 2.000000, 0.000000, 1, 0
Jaziri, Schwartzman, 56.000000, 52.000000, Outdoor, Hard, 1st Round, ATP250, 6.000000, 4.000000, 0.148936, 0.106383, 0.744681, 0.636364, 0.000000, 0.363636, 159.836364, 153.274834, 2.000000, 0.000000, 1, 0
Lopez, Venus, 28.000000, 1035.000000, Outdoor, Hard, 1st Round, ATP250, 68.000000, 363.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Brown, Mmoh, 70.000000, 195.000000, Outdoor, Hard, 1st Round, ATP250, 5.000000, 132.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Klein, Bagnis, 324.000000, 55.000000, Outdoor, Hard, 1st Round, ATP250, 196.000000, 7.000000, 0.000000, 0.000000, 1.000000, 0.923077, 0.000000, 0.076923, 178.621212, 167.461749, 2.000000, 1.000000, 1, 0
Harrison, Garcia-Lopez, 89.000000, 74.000000, Outdoor, Hard, 1st Round, ATP250, 81.000000, 6.000000, 0.102041, 0.040816, 0.857143, 0.495146, 0.058252, 0.446602, 178.005051, 165.312162, 2.000000, 0.000000, 1, 0
Sousa, Ramos-Vinolas, 44.000000, 26.000000, Outdoor, Hard, 1st Round, ATP250, 69.000000, 3.000000, 0.412281, 0.070175, 0.517544, 0.628205, 0.064103, 0.307692, 164.660227, 161.105263, 2.000000, 0.000000, 1, 0
Lu, Khachanov, 61.000000, 51.000000, Outdoor, Hard, 1st Round, ATP250, 6.000000, 6.000000, 0.057971, 0.130435, 0.811594, 0.461538, 0.128205, 0.410256, 174.936803, 176.693780, 2.000000, 1.000000, 1, 0
Baghdatis, Mannarino, 36.000000, 60.000000, Outdoor, Hard, 1st Round, ATP250, 8.000000, 70.000000, 0.058824, 0.223529, 0.717647, 0.137255, 0.294118, 0.568627, 168.784262, 159.608594, 2.000000, 0.000000, 1, 0
Chardy, Sitak, 71.000000, nan, Outdoor, Hard, 1st Round, ATP250, 7.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Haase, Ferrer, 58.000000, 21.000000, Outdoor, Hard, 2nd Round, ATP250, 1.000000, 6.000000, 0.451613, 0.118280, 0.430108, 0.409692, 0.039648, 0.550661, 172.912826, 167.031687, 2.000000, 1.000000, 1, 0
Sousa, Klein, 44.000000, 324.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 2.000000, 0.412281, 0.070175, 0.517544, 0.000000, 0.000000, 1.000000, 164.660227, 178.621212, 2.000000, 0.000000, 1, 0
Johnson, Lu, 33.000000, 61.000000, Outdoor, Hard, 2nd Round, ATP250, 3.000000, 1.000000, 0.142857, 0.205357, 0.651786, 0.057971, 0.130435, 0.811594, 174.626770, 174.936803, 2.000000, 0.000000, 1, 0
Isner, Jaziri, 19.000000, 56.000000, Outdoor, Hard, 2nd Round, ATP250, 66.000000, 2.000000, 0.203390, 0.118644, 0.677966, 0.148936, 0.106383, 0.744681, 193.113282, 159.836364, 2.000000, 1.000000, 1, 0
